record_id,client_id,session_date,active_minutes,steps,battery_usage,errors
1,f866ca46-c66f-4f2c-b667-4d26799d1bb2,2025-05-01,120,3500,15.2,0
2,f866ca46-c66f-4f2c-b667-4d26799d1bb2,2025-05-02,90,2800,12.8,1
3,18309BC1-8A63-4685-A79C-8106E68653B9,2025-05-01,200,6200,22.5,0
4,18309BC1-8A63-4685-A79C-8106E68653B9,2025-05-02,150,4700,18.0,0
5,1a2b3c4d-5e6f-7a8b-9c0d-1e2f3a4b5c6d,2025-05-01,80,2100,10.5,2
6,1a2b3c4d-5e6f-7a8b-9c0d-1e2f3a4b5c6d,2025-05-02,110,3300,14.2,0
7,f47ac10b-58cc-4372-a567-0e02b2c3d479,2025-05-01,60,1500,8.3,0
8,f47ac10b-58cc-4372-a567-0e02b2c3d479,2025-05-02,75,1900,9.7,1
9,9f8c6b3a-1e4d-4a7f-8c2b-5a6d7e8f9a0b,2025-05-01,180,5400,24.0,0
10,9f8c6b3a-1e4d-4a7f-8c2b-5a6d7e8f9a0b,2025-05-02,210,6800,27.5,0
