user_id,prosthesis_id,timestamp,steps,active_minutes,battery_level,error_code
1,PR-1001,2026-07-21 08:15:00,245,35,87,
1,PR-1001,2026-07-21 10:30:00,120,15,82,
1,PR-1001,2026-07-21 14:45:00,310,40,79,
1,PR-1001,2026-07-22 09:00:00,180,25,75,
2,PR-1002,2026-07-21 09:20:00,400,50,92,
2,PR-1002,2026-07-21 13:10:00,250,30,88,
2,PR-1002,2026-07-22 08:30:00,350,45,85,
3,PR-1003,2026-07-20 10:00:00,500,60,95,
3,PR-1003,2026-07-21 11:30:00,200,25,90,
3,PR-1003,2026-07-21 16:20:00,320,35,88,
3,PR-1003,2026-07-22 07:45:00,150,20,82,
4,PR-1004,2026-07-20 14:00:00,180,22,91,
4,PR-1004,2026-07-21 09:15:00,120,15,89,
4,PR-1004,2026-07-22 10:00:00,220,28,86,
5,PR-1005,2026-07-21 12:00:00,280,32,93,
5,PR-1005,2026-07-21 18:30:00,150,18,90,
5,PR-1005,2026-07-22 11:20:00,310,38,88,
6,PR-1006,2026-07-22 14:30:00,1,1,100,
