user_uuid,prosthesis_id,timestamp,usage_sec,response_time_ms,battery_cycles,firmware_version
11111111-1111-1111-1111-111111111111,aaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,2026-04-10 08:15:00,1200,82.5,2,v2.1.0
11111111-1111-1111-1111-111111111111,aaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,2026-04-10 12:30:00,1800,78.3,2,v2.1.0
11111111-1111-1111-1111-111111111111,aaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,2026-04-11 09:45:00,2400,85.1,3,v2.1.0
22222222-2222-2222-2222-222222222222,bbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,2026-04-10 07:20:00,900,92.0,1,v2.0.5
22222222-2222-2222-2222-222222222222,bbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,2026-04-10 14:10:00,1500,88.7,1,v2.0.5
22222222-2222-2222-2222-222222222222,bbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,2026-04-11 10:00:00,2100,91.5,2,v2.0.5
33333333-3333-3333-3333-333333333333,ccccccc-cccc-cccc-cccc-cccccccccccc,2026-04-09 16:30:00,600,75.0,1,v2.1.0
33333333-3333-3333-3333-333333333333,ccccccc-cccc-cccc-cccc-cccccccccccc,2026-04-10 11:15:00,1200,79.8,1,v2.1.0
44444444-4444-4444-4444-444444444444,ddddddd-dddd-dddd-dddd-dddddddddddd,2026-04-10 13:45:00,3000,95.2,4,v2.1.0
44444444-4444-4444-4444-444444444444,ddddddd-dddd-dddd-dddd-dddddddddddd,2026-04-11 08:30:00,1800,89.4,4,v2.1.0
55555555-5555-5555-5555-555555555555,eeeeeee-eeee-eeee-eeee-eeeeeeeeeeee,2026-04-10 10:00:00,450,72.0,1,v2.0.5
55555555-5555-5555-5555-555555555555,eeeeeee-eeee-eeee-eeee-eeeeeeeeeeee,2026-04-11 14:20:00,750,76.5,2,v2.0.5
03c1190b-6941-4c68-8028-e0a6d18133cf,fffffff-ffff-ffff-ffff-ffffffffffff,2026-04-10 08:15:00,1200,82.5,2,v2.1.0
03c1190b-6941-4c68-8028-e0a6d18133cf,fffffff-ffff-ffff-ffff-ffffffffffff,2026-04-01 07:15:00,1200,56.5,3,v2.1.0
03c1190b-6941-4c68-8028-e0a6d18133cf,fffffff-ffff-ffff-ffff-ffffffffffff,2026-04-05 02:20:00,1200,72.3,2,v2.1.0
